sensor_id,blade_id,StartLap,EndLap,LapCount,PulseCount,WidePointCount,SelectedPointCount,xc_mm,xc_seed_mm,center_gap_mm,SelectedWidthMm,RMSE,BoundRatio,LocalXcMAD,PulseXcMAD,HalfTemplateRMSE,HalfXcShiftMm,HalfAmplitudeRelShift,LeftGradientRatio,RightGradientRatio,WidthDeficit,PointDeficit,IsStableCandidate,ChosenScore,Reason
3,5,40,59,20,20,242527,242527,-0.00152446044505079,-0.00642838146505576,0.00490392102000497,14.1430820992302,0.0289394833672108,0.0543607336060166,8.56203596620677e-05,0.00493135420639057,0.00395067691725986,0.00231257111617653,0,0.500514985709712,0.499485014290288,0,0,1,3.09802698152308,static_fit_scored_candidate
3,5,41,60,20,20,242600,242600,-0.00122914500430705,-0.00545836431495998,0.00422921931065292,14.1473770167016,0.0287953776382384,0.0528441879637263,3.30227216377762e-05,0.00459557983660862,0.00423184749979169,0.00322009495411859,0,0.500405484194865,0.499594515805135,0,0,1,2.59591131041772,static_fit_scored_candidate
3,5,42,61,20,20,242472,242472,-0.00119612228266928,-0.00456540640448444,0.00336928412181516,14.1398418900393,0.0284826274431287,0.0520637434425418,1.50290353532025e-05,0.00460090635791996,0.0035116481089526,0.000850085068716522,0.000658146208198661,0.500519086904633,0.499480913095367,0,0,1,1.85924425518212,static_fit_scored_candidate
3,5,43,62,20,20,242485,242485,-0.00118109324731607,-0.00456540640448444,0.00338431315716836,14.140334949216,0.0283198694255332,0.0524067170334202,1.50290353532025e-05,0.00511753518105723,0.00469571789441774,0.00119963338015012,0.000658146208198661,0.500398704571353,0.499601295428647,0,0,1,1.68995094302508,static_fit_scored_candidate
3,5,44,63,20,20,242523,242523,-0.00079479496095379,-0.00373217801506355,0.00293738305410976,14.142903581776,0.0285431256981764,0.0522834853457802,0.000386298286362284,0.00580743501735873,0.00404505535636291,0.001097537425953,0,0.500449289101156,0.499550710898844,0,0,1,2.35798856505263,static_fit_scored_candidate
3,5,45,64,20,20,242523,242523,-0.000266220037088781,-0.00305548097034554,0.00278926093325676,14.1427623397607,0.028118546315978,0.0522834853457802,0.00020615112971495,0.00426471282734313,0.00328414555336048,0.000770751020722446,0.000658146208198661,0.500442372045472,0.499557627954528,0,0,1,1.21869899031724,static_fit_scored_candidate
3,5,46,65,20,20,242592,242592,-0.000472371166803731,-0.00373217801506355,0.00325980684825982,14.1467974059205,0.0278637337256202,0.0525326474079937,0.00020615112971495,0.00464154803820111,0.00424920899833557,0.000984626370065334,0,0.500540975384554,0.499459024615446,0,0,1,1.11128603667295,static_fit_scored_candidate
3,5,47,66,20,20,242625,242625,-0.000811384818274284,-0.00373217801506355,0.00292079319678927,14.148748904055,0.0276696076869689,0.0526732281517385,0.000339013651470553,0.00575056925655558,0.00313798222933664,0.00287226463385008,0.000657713336659458,0.500473504914141,0.499526495085859,0,0,1,1.09314750639219,static_fit_scored_candidate
3,5,48,67,20,20,242593,242593,-0.00138682021213236,-0.00393553509674752,0.00254871488461516,14.1467274127315,0.0273032493443744,0.0525317812329964,0.000490718845879789,0.00792407261389656,0.00373268660756956,0.00338403776257545,0.000657713336659458,0.500598104933609,0.499401895066391,0,0,1,1.55062617523105,static_fit_scored_candidate
3,5,49,68,20,20,242551,242551,-0.00187753905801215,-0.00573878063626419,0.00386124157825204,14.1442780677188,0.0272358783204325,0.0523763976384445,2.83915587028785e-05,0.00773332590234365,0.00415946539594519,0.00492777830838225,0.000658146208198661,0.500557736952137,0.499442263047863,0,0,1,0.918578563195742,static_fit_scored_candidate
