case_name,event_id,rev_id,event_in_rev,opr_reference_time_s,opr_timing_reference,opr_center_time_s,opr_start_time_s,opr_end_time_s,opr_width_s,center_offset_s,opr_peak_value,center_quality,source_file_id,rev_period_s,rpm,opr_events_per_revolution
1000_2500_3500,3690,615,6,24.4290916,threshold_rising_edge,24.4292176047995,24.4290916,24.4293508,0.000259200000002124,-3.5952004573403e-06,4.80103494389209,1,13000,0.0319667999999993,1876.94733285788,6
1000_2500_3500,3691,616,1,24.4343922,threshold_rising_edge,24.4345612068971,24.4343922,24.434735,0.000342799999998533,-2.39310293181916e-06,4.91999534856678,1,13000,0.0319643999999997,1877.08826069004,6
1000_2500_3500,3692,616,2,24.4397482,threshold_rising_edge,24.4398644252183,24.4397482,24.4399844,0.000236199999999798,-1.87478171653765e-06,4.7821966393395,1,13000,0.0319602000000003,1877.33493532579,6
1000_2500_3500,3693,616,3,24.4450778,threshold_rising_edge,24.4451994328696,24.4450778,24.4453244,0.000246600000000541,-1.66713041238609e-06,4.7854526425955,1,13000,0.031956000000001,1877.5816748028,6
1000_2500_3500,3694,616,4,24.4503754,threshold_rising_edge,24.4505225483015,24.4503754,24.4506748,0.000299400000002947,-2.55169853247139e-06,4.77068434211291,1,13000,0.0319512000000017,1877.86374220676,6
1000_2500_3500,3695,616,5,24.4557374,threshold_rising_edge,24.4558561098999,24.4557374,24.4559796,0.00024219999999886,-2.39010007163643e-06,4.79103436246294,1,13000,0.0319475999999987,1878.07534838305,6
1000_2500_3500,3696,616,6,24.4610584,threshold_rising_edge,24.4611844495247,24.4610584,24.4613176,0.000259200000002124,-3.55047534128516e-06,4.77173091458806,1,13000,0.0319438000000005,1878.29876220109,6
1000_2500_3500,3697,617,1,24.4663566,threshold_rising_edge,24.4665255297503,24.4663566,24.4666992,0.000342599999999749,-2.3702497173872e-06,4.92569335426478,1,13000,0.0319411999999986,1878.45165491599,6
1000_2500_3500,3698,617,2,24.4717084,threshold_rising_edge,24.471824548431,24.4717084,24.4719446,0.000236199999999798,-1.95156897575544e-06,4.77324263038549,1,13000,0.0319395999999976,1878.54575511292,6
1000_2500_3500,3699,617,3,24.4770338,threshold_rising_edge,24.4771553848886,24.4770338,24.4772802,0.000246399999998204,-1.61511142948711e-06,4.75556718413861,1,13000,0.0319387999999989,1878.59280874679,6
1000_2500_3500,3700,617,4,24.4823266,threshold_rising_edge,24.4824735798897,24.4823266,24.4826256,0.000298999999998273,-2.52011033552435e-06,4.79463922321065,1,13000,0.0319387999999989,1878.59280874679,6
1000_2500_3500,3701,617,5,24.487685,threshold_rising_edge,24.4878035712867,24.487685,24.4879268,0.000241800000001291,-2.32871333949447e-06,4.75998604570033,1,13000,0.0319378000000015,1878.65162910399,6
1000_2500_3500,3702,617,6,24.4930022,threshold_rising_edge,24.4931283381661,24.4930022,24.4932612,0.000258999999999787,-3.36183394011869e-06,4.76928891214605,1,13000,0.0319356000000006,1878.78104685676,6
1000_2500_3500,3703,618,1,24.4982978,threshold_rising_edge,24.4984666753828,24.4982978,24.4986402,0.000342400000000964,-2.32461724891664e-06,4.95232280946567,1,13000,0.0319329999999987,1878.93401810048,6
1000_2500_3500,3704,618,2,24.503648,threshold_rising_edge,24.5037640979976,24.503648,24.503884,0.000236000000001013,-1.90200236005467e-06,4.77661491947206,1,13000,0.0319298000000003,1879.12232459957,6
1000_2500_3500,3705,618,3,24.5089726,threshold_rising_edge,24.5090942311479,24.5089726,24.5092192,0.000246600000000541,-1.66885207164569e-06,4.76196290482005,1,13000,0.0319268000000008,1879.29889622507,6
1000_2500_3500,3706,618,4,24.5142654,threshold_rising_edge,24.5144123722822,24.5142654,24.5145646,0.00029920000000061,-2.62771777670423e-06,4.78068492354207,1,13000,0.0319232000000014,1879.51082598228,6
1000_2500_3500,3707,618,5,24.5196228,threshold_rising_edge,24.5197413040311,24.5196228,24.5198646,0.000241799999997738,-2.39596889883842e-06,4.77789406360835,1,13000,0.0319210000000005,1879.64036214401,6
1000_2500_3500,3708,618,6,24.5249378,threshold_rising_edge,24.5250638488939,24.5249378,24.5251966,0.000258800000001003,-3.35110615168333e-06,4.79219722076865,1,13000,0.0319192000000008,1879.74635955784,6
1000_2500_3500,3709,619,1,24.5302308,threshold_rising_edge,24.5303995970502,24.5302308,24.5305732,0.000342400000000964,-2.4029497573963e-06,4.95197395197395,1,13000,0.0319172000000023,1879.86414848407,6
1000_2500_3500,3710,619,2,24.5355778,threshold_rising_edge,24.535693727141,24.5355778,24.5358136,0.000235800000002229,-1.97285895708887e-06,4.79754636897494,1,13000,0.0319142000000028,1880.04085955452,6
1000_2500_3500,3711,619,3,24.5408994,threshold_rising_edge,24.5410207517056,24.5408994,24.5411454,0.000246000000000635,-1.64829443249914e-06,4.74917146345718,1,13000,0.031910400000001,1880.26474127551,6
