gap_true_mm,vib_A_mm,vib_f_Hz,eta,gHat_raw_corr_mm,gHat_raw_rmse_mm,gHat_width_mm,err_raw_corr_mm,err_raw_rmse_mm,err_width_mm,raw_corr_correct,raw_rmse_correct,width_correct,best_raw_corr,best_width_dist,width_correct_rank,width_separability
0.6,0.05,0,0,0.6,0.6,0.6,0,0,0,1,1,1,1,2.68742205309329e-17,1,10257232598084.2
0.6,0.05,200,0.00020943951023932,0.6,0.6,0.6,0,0,0,1,1,1,0.999999987792093,1.24472386140031e-05,1,181.16929792913
0.6,0.05,400,0.000418879020478639,0.6,0.6,0.6,0,0,0,1,1,1,0.999999951160712,2.49450828660602e-05,1,89.4948333802686
0.6,0.05,600,0.000628318530717959,0.6,0.6,0.6,0,0,0,1,1,1,0.999999890088656,3.74758251597823e-05,1,58.965967201415
0.6,0.05,800,0.000837758040957278,0.6,0.6,0.6,0,0,0,1,1,1,0.999999804671721,4.99177099000767e-05,1,43.8195323148265
0.6,0.05,1000,0.0010471975511966,0.6,0.6,0.6,0,0,0,1,1,1,0.999999694920824,6.24205176672845e-05,1,34.6815113323564
0.6,0.1,0,0,0.6,0.6,0.6,0,0,0,1,1,1,1,3.32777661212807e-17,1,10257232598084.2
0.6,0.1,200,0.000418879020478639,0.6,0.6,0.6,0,0,0,1,1,1,0.999999951157068,2.49474115659744e-05,1,89.4863479616331
0.6,0.1,400,0.000837758040957278,0.6,0.6,0.6,0,0,0,1,1,1,0.999999804614056,4.99362930472316e-05,1,43.8027055652456
0.6,0.1,600,0.00125663706143592,0.6,0.6,0.6,0,0,0,1,1,1,0.999999560628438,7.50671906140983e-05,1,28.5355963351898
0.6,0.1,800,0.00167551608191456,0.6,0.6,0.6,0,0,0,1,1,1,0.999999219610747,0.000100549247719549,1,20.8483486590873
0.6,0.1,1000,0.0020943951023932,0.6,0.6,0.6,0,0,0,1,1,1,0.999998781660268,0.00012620945102669,1,16.2445176240278
0.6,0.2,0,0,0.6,0.6,0.6,0,0,0,1,1,1,1,2.30137075393447e-17,1,10257232598084.2
0.6,0.2,200,0.000837758040957278,0.6,0.6,0.6,0,0,0,1,1,1,0.99999980459964,4.99409417580983e-05,1,43.7984981771081
0.6,0.2,400,0.00167551608191456,0.6,0.6,0.6,0,0,0,1,1,1,0.999999219383791,0.000100587828713169,1,20.8398166033294
0.6,0.2,600,0.00251327412287183,0.6,0.6,0.6,0,0,0,1,1,1,0.999998246594445,0.00015223589456611,1,13.1606638972742
0.6,0.2,800,0.00335103216382911,0.6,0.6,0.6,0,0,0,1,1,1,0.999996888051771,0.000204372935414546,1,9.34568720536085
0.6,0.2,1000,0.00418879020478639,0.6,0.6,0.6,0,0,0,1,1,1,0.999995145887166,0.000255644763832137,1,7.11071404675807
0.6,0.3,0,0,0.6,0.6,0.6,0,0,0,1,1,1,1,2.68742205309329e-17,1,10257232598084.2
0.6,0.3,200,0.00125663706143592,0.6,0.6,0.6,0,0,0,1,1,1,0.999999560542535,7.50862686752495e-05,1,28.5279907272085
0.6,0.3,400,0.00251327412287183,0.6,0.6,0.6,0,0,0,1,1,1,0.999998246385558,0.000152260726668495,1,13.158288681521
0.6,0.3,600,0.00376991118430775,0.6,0.6,0.6,0,0,0,1,1,1,0.999996063992652,0.00023030905973775,1,8.09121383526301
0.6,0.3,800,0.00502654824574367,0.6,0.6,0.6,0,0,0,1,1,1,0.999993016599402,0.000303200532239171,1,5.71292229901769
0.6,0.3,1000,0.00628318530717959,0.6,0.6,0.6,0,0,0,1,1,1,0.999989101332532,0.000366670298675145,1,4.41133494402391
0.6,0.5,0,0,0.6,0.6,0.6,0,0,0,1,1,1,1,2.30137075393447e-17,1,10257232598084.2
0.6,0.5,200,0.0020943951023932,0.6,0.6,0.6,0,0,0,1,1,1,0.99999878096408,0.000126307341145028,1,16.230843028708
0.6,0.5,400,0.00418879020478639,0.6,0.6,0.6,0,0,0,1,1,1,0.999995143527377,0.000255809151434906,1,7.10525328409262
0.6,0.5,600,0.00628318530717959,0.6,0.6,0.6,0,0,0,1,1,1,0.999989097339702,0.000366768063544442,1,4.40988374941317
0.6,0.5,800,0.00837758040957278,0.6,0.6,0.6,0,0,0,1,1,1,0.999980874042422,0.000469900533698575,1,3.04494325864732
0.6,0.5,1000,0.010471975511966,0.6,0.6,0.6,0,0,0,1,1,1,0.999970354498379,0.000560468853628105,1,2.25740010126713
0.6,0.7,0,0,0.6,0.6,0.6,0,0,0,1,1,1,1,2.30137075393447e-17,1,10257232598084.2
0.6,0.7,200,0.00293215314335047,0.6,0.6,0.6,0,0,0,1,1,1,0.999997614517512,0.000178514093684898,1,10.9594159383772
