method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s
C_same_gap_direct,20,20.026880777307,0.016615622685431,2,20264432,1,0,500.015314622381,1299.93513410607,0.253194915208552,0.150604080739334,0.0400902581537252,0.00189949797394294,0.0018945610979652,0.4013965
A_blind_transfer,15,14.9667524652566,0.0295472197064776,1,20265431,NaN,NaN,500.127610014022,1299.99350880224,0.247537088813019,0.154018049300095,0.067050605893229,0.00324048024353832,0.00326710117049698,0.6650314
B_gap_library_joint,15,14.9667524652566,0.0295472197064776,1,20265431,0.992475840953322,0.00752415904667847,500.084569947585,1300.03448617237,0.243256273364656,0.151691143782131,0.0595280599783337,0.00421743520873763,0.00335791680779761,2.183739
C_same_gap_direct,15,14.9667524652566,0.0295472197064776,1,20265431,1,0,500.086621550811,1300.03881821874,0.243255567509027,0.152094037599086,0.0627198847773514,0.0044192350450295,0.00335497208051646,0.4376081
A_blind_transfer,15,15.00122184357,0.0295472197064776,2,20265432,NaN,NaN,499.909328191009,1300.06642297303,0.251490927919363,0.150757966252067,0.0785473910108294,0.00112444708571513,0.00327445651336777,0.4824928
B_gap_library_joint,15,15.00122184357,0.0295472197064776,2,20265432,0.993776961125014,0.00622303887498621,499.939109915148,1300.03676227985,0.247640284513449,0.153832061665162,0.0488261823502683,0.00309588857585677,0.0033405160419724,2.1874793
C_same_gap_direct,15,15.00122184357,0.0295472197064776,2,20265432,1,0,499.937041751897,1300.03086127877,0.246897106180082,0.153551814162099,0.0469097634375828,0.00332735399100881,0.00334077689083537,0.4206019
A_blind_transfer,10,10.0132880765217,0.0525432124279254,1,20266431,NaN,NaN,500.190556147059,1300.09350770284,0.242180731986623,0.16014985609668,0.142031924947588,0.0089845620550284,0.0056936119060912,0.6431857
B_gap_library_joint,10,10.0132880765217,0.0525432124279254,1,20266431,0.994717055885484,0.0052829441145158,500.029331170803,1300.14674535317,0.247426273171925,0.160070060370393,0.0880382619881175,0.00632189359923424,0.00577667291431804,2.307505
C_same_gap_direct,10,10.0132880765217,0.0525432124279254,1,20266431,1,0,500.011099916339,1300.14318121338,0.247528896045906,0.158094007927961,0.0771405648599455,0.00528255594102746,0.00576864045062786,0.4394895
A_blind_transfer,10,9.95638387586943,0.0525432124279254,2,20266432,NaN,NaN,500.016230700963,1300.24499354296,0.249176998982108,0.149451814932293,0.130612121960098,0.00068559304279954,0.00581468541951348,0.6685013
B_gap_library_joint,10,9.95638387586943,0.0525432124279254,2,20266432,0.992488004264764,0.00751199573523609,499.991874531483,1300.11690466485,0.251817103345126,0.155455179153252,0.0625150666859042,0.00363614124918898,0.00588582042550269,2.0663635
C_same_gap_direct,10,9.95638387586943,0.0525432124279254,2,20266432,1,0,499.990915058809,1300.13262059745,0.251723100096703,0.155022970530661,0.0708527693182646,0.0033730353136817,0.00588199155485946,0.3974005
