scenario,num_revs_high,method,target_snr_db,freq_error_mean_Hz,freq_error_median_Hz,freq_error_p90_Hz,freq_error_std_Hz,amp_error_mean_mm,rmse_mean,elapsed_mean_s,gap_error_mean_mm,success_rate,boundary_hit_rate,num_trials
noninteger_520_1270,8,A_blind_transfer,10,0.444561188366019,0.154862373532524,0.884199517366051,0.539064567247558,0.0155243954389575,0.00580170492544123,2.2109466,NaN,0.666666666666667,0,3
noninteger_520_1270,8,A4_sensorcv_alias,10,24.9426036387557,24.9395990465682,44.7745994062468,24.7892436978818,0.0339795541828203,0.00602268603884968,2.7480828,NaN,0.333333333333333,0,3
noninteger_520_1270,8,A2_constrained_varpro,10,25.0048386206443,25.0051314177317,25.0068027271934,0.00254101606061915,0.0530985520376709,0.00615541529242309,1.60879836666667,NaN,0,0,3
noninteger_520_1270,8,A3_physics_template,10,25.0049135722685,25.0051934979776,25.0069144618815,0.00258249691146574,0.0531917921296508,0.00615723770445189,1.9775819,NaN,0,0,3
noninteger_520_1270,8,B_gap_library_joint,10,0.116896279487833,0.136616699973786,0.158475962433715,0.0594122640719668,0.00913510626059503,0.00587567897666898,0.4200467,0.00674943748649259,1,0,3
noninteger_520_1270,8,C_same_gap_direct,10,0.114574808768642,0.148370136984852,0.151984870294802,0.0624891417485709,0.00892528479973496,0.00587530940456349,0.218041733333333,0,1,0,3
noninteger_520_1270,20,A_blind_transfer,10,41.6668126092309,24.9717411354279,65.1087245020437,28.9912349190763,0.035006840882946,0.00637644901403268,4.33713643333333,NaN,0,0,3
noninteger_520_1270,20,A4_sensorcv_alias,10,41.7353629410159,45.3114485303967,53.0100571609879,15.3040231739635,0.0719068950004297,0.00650248481982447,4.83656766666667,NaN,0,0,3
noninteger_520_1270,20,A2_constrained_varpro,10,25.0108522771581,25.0095118769465,25.0139540470721,0.00372747426173252,0.0546827375070618,0.00632695806287785,2.6387913,NaN,0,0,3
noninteger_520_1270,20,A3_physics_template,10,25.0107497126901,25.0092546271695,25.0139308710127,0.00382828142454374,0.0546811353750702,0.00632734163284502,3.26349256666667,NaN,0,0,3
noninteger_520_1270,20,B_gap_library_joint,10,0.0330361123094652,0.0291452530678953,0.049108364198014,0.0194122827331374,0.00426825628972659,0.00605622310734595,0.6882173,0.00625025781202981,1,0,3
noninteger_520_1270,20,C_same_gap_direct,10,0.034008859427748,0.0296398458390286,0.0536114817371981,0.0237148113519378,0.00415275765085311,0.00605603760813844,0.402197766666667,0,1,0,3
