method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
B_gap_library_joint,10,9.9447418747223,0.0525432124279254,4,20263434,0.993271344531682,0.00672865546831802,499.933525662987,1300.21709683342,0.23544976779311,0.165377964146426,0.141785585214734,0.0149640981766577,0.00582360854628555,0.3961258,1,0,0,0,NaN,NaN
C_same_gap_direct,10,9.9447418747223,0.0525432124279254,4,20263434,1,0,499.950755646935,1300.21045418169,0.239596019424225,0.159749038867006,0.129849267376358,0.0100765097213904,0.00582597610157715,0.1473939,1,0,0,0,NaN,NaN
A_blind_transfer,10,9.99247534366377,0.0525432124279254,5,20263435,NaN,NaN,500.324332972557,1299.85835482407,0.249043267281887,0.121003584690138,0.232989074242312,0.0149765740139871,0.0058132241284859,2.2366336,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,9.99247534366377,0.0525432124279254,5,20263435,NaN,NaN,500.10219949414,1299.99727125156,0.24857247524015,0.139143597631066,0.0524641212898018,0.00614196356439238,0.00591813652336963,0.9619288,1,0,0,0,0.965987148781859,2.16188790684035
B_gap_library_joint,10,9.99247534366377,0.0525432124279254,5,20263435,0.991472296447626,0.0085277035523742,500.087507337824,1299.97473988357,0.247548101790932,0.13838849199169,0.0563837271256773,0.00703170310868904,0.00595560101213061,0.3849264,1,0,0,0,NaN,NaN
C_same_gap_direct,10,9.99247534366377,0.0525432124279254,5,20263435,1,0,500.079128236033,1299.98578189223,0.245784056665415,0.140942912836314,0.0466731719010056,0.00663651524913558,0.00595769967694598,0.1934306,1,0,0,0,NaN,NaN
A_blind_transfer,5,4.9671044274919,0.093436512797881,1,20264431,NaN,NaN,500.248828071062,1299.18945269982,0.252188260723892,0.145113487232738,0.529687685622463,0.00353738674557737,0.0101873688728247,2.0236496,1,0,0,0,NaN,NaN
A2_constrained_varpro,5,4.9671044274919,0.093436512797881,1,20264431,NaN,NaN,500.193688514323,1299.71283169715,0.255422035052203,0.157766457600894,0.240428408587832,0.00659424632654834,0.0105128146771734,0.9837923,1,0,0,0,0.9661703835002,2.12604575183542
B_gap_library_joint,5,4.9671044274919,0.093436512797881,1,20264431,0.989146844057518,0.0108531559424824,500.156455369514,1299.75173624727,0.251202947777393,0.155668506029771,0.202359561124382,0.0034357269035822,0.0105619667793454,0.3819526,1,0,0,0,NaN,NaN
C_same_gap_direct,5,4.9671044274919,0.093436512797881,1,20264431,1,0,500.163098374951,1299.74180721545,0.252091511328116,0.153428461658037,0.210645579750349,0.00275998649307639,0.0105661511784264,0.1915278,1,0,0,0,NaN,NaN
A_blind_transfer,5,5.02688077730701,0.093436512797881,2,20264432,NaN,NaN,500.353021356561,1299.18951983048,0.287595546618633,0.151148625026334,0.58175076304056,0.0193720858224834,0.0102639305468659,2.3192348,1,0,0,0,NaN,NaN
A2_constrained_varpro,5,5.02688077730701,0.093436512797881,2,20264432,NaN,NaN,500.009146826602,1249.97845804224,0.301284334667947,0.131109273911866,25.0153443921827,0.0350875303780406,0.0104447038125668,1.0800066,0,0,0,0,0.983282078560527,1.44062879233761
B_gap_library_joint,5,5.02688077730701,0.093436512797881,2,20264432,0.989957622465699,0.0100423775343013,500.089984893943,1299.65606438715,0.265176752338725,0.157494867381106,0.216960253394291,0.0113358098599158,0.0105244318695604,0.3790486,1,0,0,0,NaN,NaN
C_same_gap_direct,5,5.02688077730701,0.093436512797881,2,20264432,1,0,500.064975126122,1299.68322614116,0.266800360026991,0.153062450007017,0.190874492479679,0.00993140501700415,0.0105182684212595,0.2010494,1,0,0,0,NaN,NaN
A_blind_transfer,5,5.02851588991717,0.093436512797881,3,20264433,NaN,NaN,500.41478024888,1300.17254972084,0.271530999248494,0.13767528699745,0.293664984861977,0.016927856125522,0.0101381839580948,2.2307149,1,0,0,0,NaN,NaN
A2_constrained_varpro,5,5.02851588991717,0.093436512797881,3,20264433,NaN,NaN,500.207889461969,1299.8433713732,0.265069709196911,0.135109431594571,0.182259044384324,0.0149801388011699,0.0103822115840597,1.4701882,1,0,0,0,0.965981679773673,2.14131820825188
B_gap_library_joint,5,5.02851588991717,0.093436512797881,3,20264433,0.993218132702449,0.00678186729755126,500.218241481674,1299.90750029254,0.257643675280088,0.148736003240149,0.155370594568694,0.00445383601996968,0.0104396101267744,0.420459,1,0,0,0,NaN,NaN
C_same_gap_direct,5,5.02851588991717,0.093436512797881,3,20264433,1,0,500.250782416217,1299.88814507035,0.257198454484161,0.148656652336473,0.181318672933799,0.00427090107384415,0.0104350518228069,0.2433843,1,0,0,0,NaN,NaN
A_blind_transfer,5,4.97653409392898,0.093436512797881,4,20264434,NaN,NaN,499.724429650275,1299.55074632353,0.253374061326288,0.141018161485971,0.362412013095053,0.00617794992015876,0.00993099094206626,3.0181727,1,0,0,0,NaN,NaN
A2_constrained_varpro,5,4.97653409392898,0.093436512797881,4,20264434,NaN,NaN,499.8462915119,1299.92166250814,0.275761565799112,0.146423359759499,0.116022989977807,0.0146691030198064,0.0101940778083966,1.1274975,1,0,0,0,0.966537037840041,2.16031863188146
B_gap_library_joint,5,4.97653409392898,0.093436512797881,4,20264434,0.993054297787965,0.00694570221203528,499.849886090482,1299.96492094027,0.274451551929936,0.147458683060226,0.0925964846235274,0.0134964344348547,0.0102198962015468,0.4505937,1,0,0,0,NaN,NaN
C_same_gap_direct,5,4.97653409392898,0.093436512797881,4,20264434,1,0,499.853616898825,1299.92527083765,0.271879408969848,0.150236981227017,0.110556131760006,0.0110581950984325,0.0102184093826929,0.1938875,1,0,0,0,NaN,NaN
A_blind_transfer,5,5.06167559527336,0.093436512797881,5,20264435,NaN,NaN,499.782695308576,1250.32982691591,0.263805862472778,0.114201473120784,24.9437388877575,0.0248021946759971,0.00990444038254243,2.3362062,0,0,0,0,NaN,NaN
A2_constrained_varpro,5,5.06167559527336,0.093436512797881,5,20264435,NaN,NaN,499.963739640238,1299.99324339812,0.22999914444601,0.141964306708629,0.0215084808205575,0.0140182744226802,0.010077508930075,0.8293456,1,0,0,0,0.966247576265511,2.16456415697729
B_gap_library_joint,5,5.06167559527336,0.093436512797881,5,20264435,0.991385642833224,0.00861435716677583,499.958410563785,1300.0243603858,0.230943070548181,0.145792793695616,0.0329749110061073,0.0116320678781016,0.0101038002446205,0.4018516,1,0,0,0,NaN,NaN
C_same_gap_direct,5,5.06167559527336,0.093436512797881,5,20264435,1,0,499.944407363508,1300.04752778868,0.223193714824888,0.147844658950791,0.0515602125859118,0.0144808131121602,0.0101064841618207,0.2058991,1,0,0,0,NaN,NaN
A_blind_transfer,0,-0.0332475347433481,0.16615622685431,1,20265431,NaN,NaN,450.355909466303,1300.2935564116,0.384743366046434,0.181624621222009,24.9688234726486,0.0831839936342214,0.0181016226929628,2.517154,0,0,0,0,NaN,NaN
A2_constrained_varpro,0,-0.0332475347433481,0.16615622685431,1,20265431,NaN,NaN,400.000001821554,1150.3512665646,0.236356404616238,0.335988381145603,124.824365806922,0.0998159882646825,0.0185472507773888,1.3091726,0,1,0,1,0.732609822359028,5.70980051162144
B_gap_library_joint,0,-0.0332475347433481,0.16615622685431,1,20265431,0.989139059218386,0.0108609407816144,400,1101.00629159755,0.214258246815615,0.132576172886717,149.496854201224,0.0265827901488339,0.0186967754585874,0.4349638,0,1,1,1,NaN,NaN
C_same_gap_direct,0,-0.0332475347433481,0.16615622685431,1,20265431,1,0,400,1100.94956609706,0.206823195554725,0.139200330582548,149.525216951468,0.0269882369313637,0.0186998844711352,0.2472577,0,1,1,1,NaN,NaN
A_blind_transfer,0,0.00122184356995516,0.16615622685431,2,20265432,NaN,NaN,499.5671841914,1300.25863482735,0.266480979339556,0.168774666737105,0.345725317976502,0.0176278230383308,0.0176826836557861,3.0978945,1,0,0,0,NaN,NaN
A2_constrained_varpro,0,0.00122184356995516,0.16615622685431,2,20265432,NaN,NaN,499.56565308164,1300.25516525598,0.258524797653045,0.161968579608615,0.344756087169031,0.0102466886308298,0.0182025510245005,1.2536912,1,0,0,0,0.966955276435004,2.14822730392355
B_gap_library_joint,0,0.00122184356995516,0.16615622685431,2,20265432,0.995521499853465,0.00447850014653495,499.62601053185,1300.25044554787,0.250547662095934,0.17109630299923,0.312217508011287,0.010821982547582,0.0182968342445446,0.5016875,1,0,0,0,NaN,NaN
C_same_gap_direct,0,0.00122184356995516,0.16615622685431,2,20265432,1,0,499.600851107104,1300.26088491031,0.244244063891958,0.175669766923535,0.330016901601908,0.0157128515157886,0.0182993685534107,0.3003654,1,0,0,0,NaN,NaN
A_blind_transfer,0,-0.0431888092744925,0.16615622685431,3,20265433,NaN,NaN,500.23530191967,1300.35396543087,0.246357232544532,0.164070419279366,0.294633675269381,0.00885659336741701,0.0179605469920415,4.4663103,1,0,0,0,NaN,NaN
A2_constrained_varpro,0,-0.0431888092744925,0.16615622685431,3,20265433,NaN,NaN,500.10039927207,1300.27152470914,0.260606043146461,0.135405791474777,0.185961990604824,0.012600125835842,0.0183234948541624,1.0939883,1,0,0,0,0.965808171270099,2.16261961686133
B_gap_library_joint,0,-0.0431888092744925,0.16615622685431,3,20265433,0.982679848520765,0.0173201514792353,500.075942688099,1300.25758593318,0.256103408890497,0.145486018220581,0.166764310637575,0.0053086953349577,0.0183825946947993,0.4189538,1,0,0,0,NaN,NaN
C_same_gap_direct,0,-0.0431888092744925,0.16615622685431,3,20265433,1,0,500.161879447273,1300.25355266767,0.264799065699446,0.147130125996115,0.207716057470492,0.00883446985166587,0.0184026661752128,0.2502638,1,0,0,0,NaN,NaN
A_blind_transfer,0,0.00278404531364996,0.16615622685431,4,20265434,NaN,NaN,499.93183716882,1301.13287955629,0.262884061006382,0.160555635150956,0.600521193733584,0.0117198480786692,0.0181686444414746,2.6454858,1,0,0,0,NaN,NaN
A2_constrained_varpro,0,0.00278404531364996,0.16615622685431,4,20265434,NaN,NaN,499.917324900516,1301.34717925408,0.252037501831132,0.155192894270794,0.714927176779611,0.0036151980509628,0.0186319889167332,1.6419606,1,0,0,0,0.969047581310989,1.88326792731617
B_gap_library_joint,0,0.00278404531364996,0.16615622685431,4,20265434,0.990752430375913,0.0092475696240869,499.928434406211,1301.19938901562,0.256152738499748,0.174045452058814,0.635477304705859,0.015099095279281,0.0187111211073464,0.4125343,1,0,0,0,NaN,NaN
C_same_gap_direct,0,0.00278404531364996,0.16615622685431,4,20265434,1,0,499.972170615106,1301.21032135575,0.255198716693115,0.171408305706639,0.619075370320616,0.0133035111998769,0.0187028692600886,0.2000178,1,0,0,0,NaN,NaN
A_blind_transfer,0,0.014501462479028,0.16615622685431,5,20265435,NaN,NaN,500.00704094951,1298.91593834848,0.238640429609188,0.141437083104701,0.545551300513608,0.00996124364305566,0.0176364891214317,2.018325,1,0,0,0,NaN,NaN
A2_constrained_varpro,0,0.014501462479028,0.16615622685431,5,20265435,NaN,NaN,500.007720249195,1299.59498256168,0.243056359402733,0.151837988309401,0.206368843756792,0.00439081445333379,0.0180260307703704,1.1538206,1,0,0,0,0.966719135771245,2.10738638281531
B_gap_library_joint,0,0.014501462479028,0.16615622685431,5,20265435,0.990140418932734,0.00985958106726603,500.045614325736,1299.59197719118,0.24477625036928,0.145856078358997,0.226818567276354,0.00468383563586169,0.0180699853363009,0.5049685,1,0,0,0,NaN,NaN
C_same_gap_direct,0,0.014501462479028,0.16615622685431,5,20265435,1,0,500.037740745256,1299.49253558944,0.237809632100259,0.155840938110094,0.272602577908117,0.00901565300491761,0.0180703092271593,0.2244504,1,0,0,0,NaN,NaN
