method,target_snr_db,measured_snr_db,noise_ratio,repeat_id,seed,g_used_mm,gap_error_mm,f1_Hz,f2_Hz,A1_mm,A2_mm,mean_freq_error_Hz,mean_amp_error_mm,rmse,elapsed_s,is_success,f1_boundary_hit,f2_boundary_hit,freq_boundary_hit,a2_eta_dynamic,a2_cond_dynamic
C_same_gap_direct,15,14.9911751308919,0.0295472197064776,2,20262432,1,0,499.949636783202,1299.94471954786,0.250460165579772,0.154254294194339,0.0528218344690572,0.00235722988705543,0.0033187439808474,0.1478729,1,0,0,0,NaN,NaN
A_blind_transfer,15,14.9890512164521,0.0295472197064776,3,20262433,NaN,NaN,500.192424270913,1300.24924003947,0.246226310396027,0.143296400742801,0.220832155190664,0.00523864443058622,0.00325535238380063,1.3709931,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,14.9890512164521,0.0295472197064776,3,20262433,NaN,NaN,500.050713046081,1299.94782221436,0.248806230025162,0.144871755718546,0.0514454158583817,0.00316100712814607,0.00328069920113822,0.8209395,1,0,0,0,0.966089436690384,2.16149008958825
A3_physics_template,15,14.9890512164521,0.0295472197064776,3,20262433,NaN,NaN,500.050085476029,1299.9471169524,0.248485251818349,0.145609918192953,0.0514842618130729,0.00295241499434917,0.00328329640233837,1.1956603,1,0,0,0,0.965992059591963,2.15486935902248
B_gap_library_joint,15,14.9890512164521,0.0295472197064776,3,20262433,0.99295680585383,0.00704319414617005,500.055257338284,1299.9425344034,0.246780439299774,0.148293163366873,0.0563614674443045,0.00246319866667635,0.00331661067851546,0.3174839,1,0,0,0,NaN,NaN
C_same_gap_direct,15,14.9890512164521,0.0295472197064776,3,20262433,1,0,500.05793735704,1299.96243479806,0.248025444636684,0.147262701645963,0.0477512794917345,0.00235592685867657,0.00330862322655098,0.1359612,1,0,0,0,NaN,NaN
A_blind_transfer,15,14.9925499358981,0.0295472197064776,4,20262434,NaN,NaN,500.139254493253,1300.13665429295,0.244850801878078,0.144956577281913,0.137954393102177,0.0050963104200043,0.00341001479018791,1.6297382,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,14.9925499358981,0.0295472197064776,4,20262434,NaN,NaN,500.071994529592,1300.05017273374,0.249677379147366,0.150141916522158,0.0610836316659515,0.00023226868739612,0.0034237605750014,0.9044312,1,0,0,0,0.965882746460229,2.16689459336805
A3_physics_template,15,14.9925499358981,0.0295472197064776,4,20262434,NaN,NaN,500.071778633783,1300.04413134794,0.249515626685612,0.150340859263292,0.0579549908611909,0.000412616288840387,0.00342428387307796,1.1361548,1,0,0,0,0.965774941513934,2.15571059606332
B_gap_library_joint,15,14.9925499358981,0.0295472197064776,4,20262434,0.993575883239006,0.00642411676099375,500.076328687633,1300.03890669452,0.248416888975657,0.151190928012099,0.0576176910786046,0.00138701951822108,0.00345545965196318,0.3697699,1,0,0,0,NaN,NaN
C_same_gap_direct,15,14.9925499358981,0.0295472197064776,4,20262434,1,0,500.078663857033,1300.04133770303,0.248118988181223,0.151099240279813,0.0600007800334197,0.00149012604929515,0.00344708683897936,0.1463202,1,0,0,0,NaN,NaN
A_blind_transfer,15,15.0170066474137,0.0295472197064776,5,20262435,NaN,NaN,500.085887688815,1300.21840136922,0.24758014354825,0.142350520834826,0.15214452901489,0.00503466780846208,0.00330529967265656,1.6362486,1,0,0,0,NaN,NaN
A2_constrained_varpro,15,15.0170066474137,0.0295472197064776,5,20262435,NaN,NaN,500.017321669589,1300.04231494233,0.248314401636601,0.149283260558906,0.0298183059594237,0.00120116890224645,0.00332130640599237,0.8722101,1,0,0,0,0.965867237460471,2.16757898724397
A3_physics_template,15,15.0170066474137,0.0295472197064776,5,20262435,NaN,NaN,500.01706144414,1300.05099900565,0.247863704188595,0.149935175575481,0.034030224897009,0.00110056011796227,0.00332426428800335,1.6016714,1,0,0,0,0.965749034627279,2.16095838406126
B_gap_library_joint,15,15.0170066474137,0.0295472197064776,5,20262435,0.99354607431131,0.00645392568868985,500.009768491718,1300.05154371219,0.247396852360598,0.152304894479367,0.0306561019523031,0.00245402105938435,0.00336184913970941,0.341348,1,0,0,0,NaN,NaN
C_same_gap_direct,15,15.0170066474137,0.0295472197064776,5,20262435,1,0,500.013764836446,1300.0300553594,0.249796186814199,0.149093536669867,0.021910097923211,0.000555138257966811,0.00335857615497575,0.142404,1,0,0,0,NaN,NaN
A_blind_transfer,10,10.0285079842864,0.0525432124279254,1,20263431,NaN,NaN,500.040245638205,1299.66907811392,0.242313535462963,0.167889924131516,0.185583762141221,0.0127881943342767,0.00564685401708497,2.0744394,1,0,0,0,NaN,NaN
A2_constrained_varpro,10,10.0285079842864,0.0525432124279254,1,20263431,NaN,NaN,500.072255400821,1299.752457029,0.243833120403951,0.15554651769208,0.159899185907904,0.00585669864406443,0.00569210305545185,0.8463993,1,0,0,0,0.966244485654184,2.13395522605972
A3_physics_template,10,10.0285079842864,0.0525432124279254,1,20263431,NaN,NaN,500.074250262886,1299.76467178118,0.242902512021267,0.15750247061283,0.154789240850647,0.00729997929578148,0.00569451903835666,1.296563,1,0,0,0,0.966213221790278,2.1365109491494
B_gap_library_joint,10,10.0285079842864,0.0525432124279254,1,20263431,0.994259625999046,0.00574037400095351,500.101021796962,1299.77460771816,0.240715366438255,0.161893789960245,0.163207039399367,0.0105892117609948,0.00572666262063157,0.3566635,1,0,0,0,NaN,NaN
