subset_size,subset_idx,subset_gaps_mm,n_holdout,include_min_gap,include_ref_gap,include_both_endpoints,max_gap_spacing_mm,mean_holdout_rmse_pF,max_holdout_rmse_pF,mean_holdout_shape_rmse,max_holdout_shape_rmse,mean_holdout_amp_rel_err,max_holdout_amp_rel_err
3,1-2-5,"0.2,0.4,1.0",4,1,0,0,0.6,0.0298664535178197,0.083841280857491,0.000578990649795604,0.0010863777581355,0.548825738947872,1.65669618034565
3,1-2-6,"0.2,0.4,1.2",4,1,0,0,0.8,0.00774175994791646,0.0182084563285063,0.000407134475215398,0.000593513841740982,0.126289062141411,0.3597835027116
3,1-2-7,"0.2,0.4,1.4",4,1,1,1,1,0.00436560484374983,0.00659334801603125,0.000346183152610703,0.000376039879746457,0.053027098048894,0.0877556336378933
3,1-3-4,"0.2,0.6,0.8",4,1,0,0,0.4,0.198748406582131,0.520713727075118,0.00159900312139656,0.00452991288582863,3.60764668028707,10.2789686465296
3,1-3-5,"0.2,0.6,1.0",4,1,0,0,0.4,0.0424752080474044,0.112083305805224,0.000539143417924028,0.000899813117513741,0.731450598101319,2.21449254719722
3,1-3-6,"0.2,0.6,1.2",4,1,0,0,0.6,0.0121833477816135,0.0204557113369905,0.00040848539271674,0.000623794309440858,0.153770235058205,0.392561530732742
3,1-3-7,"0.2,0.6,1.4",4,1,1,1,0.8,0.0077351381176006,0.020791904310667,0.000343587348636197,0.000366609416887384,0.0672551311081587,0.119501016045223
3,1-4-5,"0.2,0.8,1.0",4,1,0,0,0.6,0.0505757229440476,0.121397926462807,0.000672421021665856,0.00144352087001499,0.805757470722533,2.39880081026569
3,1-4-6,"0.2,0.8,1.2",4,1,0,0,0.6,0.0203120485499767,0.0385334808491751,0.000446129170598346,0.000666009050770131,0.216925673384196,0.474126019732873
3,1-4-7,"0.2,0.8,1.4",4,1,1,1,0.6,0.0156054853923252,0.0401399246799378,0.000382178355190257,0.000447323979302366,0.115686067783234,0.230704376497597
3,1-5-6,"0.2,1.0,1.2",4,1,0,0,0.8,0.0280144204188481,0.0492654433959904,0.000387296241184382,0.00044781661328847,0.26335679776224,0.394589027862879
3,1-5-7,"0.2,1.0,1.4",4,1,1,1,0.8,0.0248148395260527,0.0516970781918992,0.000368353817004771,0.000459456640770827,0.183885452160059,0.297101240754984
3,1-6-7,"0.2,1.2,1.4",4,1,1,1,1,0.0348270436423114,0.0590070660938886,0.000436011799478097,0.000506371052527245,0.274776048404344,0.378452982882848
3,2-3-4,"0.4,0.6,0.8",4,0,0,0,0.2,0.0897195207273802,0.195784634079101,0.00199452563243179,0.00399520591605177,1.39717235425299,3.86705361725854
3,2-3-5,"0.4,0.6,1.0",4,0,0,0,0.4,0.0465369646022894,0.0822171223175932,0.000791910659777925,0.00140080651019658,0.556333184152341,1.56698892125625
